descripcion;date_notified;number_plate;id_invoice;dni
maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat;2024-05-25;F 4021 UMGD;90;H2796910B
integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi;2023-09-27;V 0898 RBMY;47;B7069097H
sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci;2024-02-03;P 9328 XIWG;98;Y4223041Z
nulla sed accumsan felis ut at dolor quis odio consequat varius;2023-06-15;R 0652 CJKJ;73;U0810972U
nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a;2024-02-25;C 3698 RUGD;2;Y9868548N
elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis;2024-01-02;I 8446 ZVNV;2;L6219407E
ante ipsum primis in faucibus orci luctus et ultrices posuere;2023-08-17;G 4288 ALTT;94;R2628747T
nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices;2023-12-31;R 8455 BZVU;54;B2215338X
non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non;2024-04-07;R 1124 IOAQ;7;N2285489Q
lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie;2023-07-31;N 5004 VSJN;48;S5875594I
ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend;2023-11-08;I 4805 UOYR;56;P0244712E
est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu;2024-02-14;G 6004 WSAU;40;E6648233E
velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue;2024-04-21;I 6393 YDIV;37;E6194253I
natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum;2023-10-01;V 5168 KARH;80;T5238442G
blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque;2023-09-26;N 5947 FFKU;81;G9934705N
mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget;2023-09-24;D 9433 KKNW;96;S4515216J
quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet;2023-09-20;K 3939 MAYE;18;Y6945181Y
vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas;2023-09-09;H 7115 MTNO;98;Q5187673T
eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem;2023-10-25;H 2445 KYRP;13;W2049886K
diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere;2024-01-18;G 2484 ERVP;62;R0471925K
