descripcion;date_notified;number_plate;id_invoice;dni
posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut;2024-05-14;U 2218 FUYR;8;C9276327V
montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur;2023-10-27;P 6046 QAFQ;80;F4120976A
pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit;2024-01-11;A 2058 RXMH;92;M3098883E
pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus;2024-01-30;W 3001 ARTT;38;E5914392I
duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec;2023-06-05;D 4534 JHYP;95;B9240154Z
at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium;2023-09-23;X 8101 VTDK;60;I1476603U
leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet;2024-04-24;K 5467 AHOH;76;L1342617M
venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar;2023-08-22;N 4058 RHOC;8;N7733698V
eget massa tempor convallis nulla neque libero convallis eget eleifend luctus;2024-05-06;T 9894 MBYZ;93;L2810670N
ut ultrices vel augue vestibulum ante ipsum primis in faucibus;2023-08-07;W 3830 QZFW;53;U9681840E
vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare;2024-03-01;A 9213 FRCD;97;M2606826H
vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget;2024-01-29;X 2812 KVSP;15;V8511237N
sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis;2023-09-22;J 5396 WZSH;49;A4931800C
consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum;2023-08-12;M 5985 TUSZ;64;R0196054L
id nisl venenatis lacinia aenean sit amet justo morbi ut odio;2023-06-24;U 1460 CMCJ;72;T7916980O
a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium;2023-06-28;M 3777 KYDX;73;D5070321L
urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius;2023-11-14;X 5353 KQAT;46;S9864359W
nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac;2024-04-23;P 5700 NTDE;89;J7516201H
a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue;2023-08-07;D 2247 WQJK;93;U6229761O
posuere metus vitae ipsum aliquam non mauris morbi non lectus;2023-12-02;F 1029 BQYH;25;X9524413G
